range_m,freq_hz,TL_db
500,12031.25,54.80746112710597
500,12062.5,54.81134460116738
500,12093.75,54.81523678751321
500,12125.0,54.819137676586564
500,12156.25,54.82304725881231
500,12187.5,54.82696552459712
500,12218.75,54.83089246432964
500,12250.0,54.834828068380475
500,12281.25,54.83877232710238
500,12312.5,54.84272523083028
500,12343.75,54.84668676988137
500,12375.0,54.8506569345552
500,12406.25,54.854635715133774
500,12437.5,54.85862310188162
500,12468.75,54.86261908504588
500,12500.0,54.866623654856404
500,12531.25,54.870636801525805
500,12562.5,54.87465851524958
500,12593.75,54.878688786206155
500,12625.0,54.882727604557004
500,12656.25,54.8867749604467
500,12687.5,54.89083084400301
500,12718.75,54.894895245337
500,12750.0,54.898968154543056
500,12781.25,54.90304956169903
500,12812.5,54.90713945686629
500,12843.75,54.91123783008979
500,12875.0,54.91534467139818
500,12906.25,54.91945997080385
500,12937.5,54.92358371830305
500,12968.75,54.92771590387593
500,13000.0,54.93185651748664
500,13031.25,54.93600554908341
500,13062.5,54.94016298859862
500,13093.75,54.94432882594889
500,13125.0,54.94850305103513
500,13156.25,54.952685653742655
500,13187.5,54.956876623941234
500,13218.75,54.961075951485185
500,13250.0,54.96528362621343
500,13281.25,54.969499637949596
500,13312.5,54.97372397650209
500,13343.75,54.97795663166415
500,13375.0,54.98219759321393
500,13406.25,54.98644685091461
500,13437.5,54.990704394514424
500,13468.75,54.994970213746754
500,13500.0,54.999244298330225
500,13531.25,55.00352663796873
500,13562.5,55.00781722235157
500,13593.75,55.01211604115347
500,13625.0,55.016423084034685
500,13656.25,55.02073834064107
500,13687.5,55.025061800604135
500,13718.75,55.02939345354117
500,13750.0,55.033733289055235
500,13781.25,55.03808129673532
